Tenor,Product,Rate,Tenor Delta,Discount Factor LIBOR,Forward LIBOR,Discount Factor OIS
0.5,LIBOR,0.025,0.5,0.9876543209876544,0.02499999999999991,0.9987515605489988
1.0,IRS,0.028,0.5,0.9725768302917004,0.031005243444740316,0.9970089730812192
1.5,,,,0.9573779178549557,0.03175112388386481,0.9952698594968568
2.0,IRS,0.03,1.0,0.9421790054182111,0.03226332225477302,0.9935307459124942
2.5,,,,0.9263302686633779,0.03421832858317719,0.9917729435653655
3.0,IRS,0.0315,1.0,0.9104815319085446,0.03481396645489587,0.9900151412182367
3.5,,,,0.8947311053589146,0.035207061552446905,0.9880658954671162
4.0,IRS,0.0325,1.0,0.8789806788092847,0.035837935757510486,0.9861166497159957
4.5,,,,0.8639849837993552,0.034712860272145374,0.9841503847246713
5.0,IRS,0.033,1.0,0.8489892887894257,0.03532599340873155,0.982184119733347
5.5,,,,0.8327960142440816,0.03888893382863401,0.9797395334487646
6.0,,,,0.8166027396987374,0.03966010339695458,0.9772949471641823
6.5,,,,0.8004094651533933,0.040462476395730196,0.9748503608796
7.0,IRS,0.035,2.0,0.7842161906080491,0.04129798578320232,0.9724057745950176
7.5,,,,0.7689652147329676,0.03966623088504084,0.9696676252500916
8.0,,,,0.7537142388578862,0.04046885434509351,0.9669294759051658
8.5,,,,0.7384632629828047,0.041304629870089205,0.9641913265602398
9.0,,,,0.7232122871077232,0.042175654775096216,0.9614531772153138
9.5,,,,0.7079613112326418,0.043084207097497274,0.9587150278703879
10.0,IRS,0.037,3.0,0.6927103353575603,0.044032765491247794,0.9559768785254619
10.5,,,,0.6785473713684951,0.04174495278200352,0.953140338633375
11.0,,,,0.6643844073794298,0.04263484763264991,0.9503037987412881
11.5,,,,0.6502214433903646,0.04356350942601095,0.9474672588492012
12.0,,,,0.6360584794012993,0.04453352780516795,0.9446307189571144
12.5,,,,0.6218955154122341,0.045547728317921976,0.9417941790650275
13.0,,,,0.6077325514231688,0.0466091999051188,0.9389576391729406
13.5,,,,0.5935695874341036,0.047721326324312585,0.9361210992808537
14.0,,,,0.5794066234450383,0.048887822182131835,0.9332845593887669
14.5,,,,0.5652436594559731,0.05011277438369355,0.93044801949668
15.0,IRS,0.04,5.0,0.5510806954669079,0.051400689973600144,0.9276114796045931
15.5,,,,0.5367943843232297,0.05322824366610979,0.9248579253483058
16.0,,,,0.5225080731795515,0.054683599649450354,0.9221043710920185
16.5,,,,0.5082217620358733,0.0562207768768066,0.9193508168357312
17.0,,,,0.49393545089219515,0.05784687500309138,0.9165972625794438
17.5,,,,0.479649139748517,0.059569839533824887,0.9138437083231565
18.0,,,,0.4653628286048388,0.06139859166022621,0.9110901540668692
18.5,,,,0.4510765174611606,0.0633431827668054,0.9083365998105819
19.0,,,,0.43679020631748244,0.06541497926029116,0.9055830455542946
19.5,,,,0.42250389517380427,0.06762688489677116,0.9028294912980073
20.0,IRS,0.045,5.0,0.4082175840301261,0.06999360979327074,0.90007593704172
20.5,,,,0.398989826261527,0.04625560433488607,0.8974424759763906
21.0,,,,0.38976206849292794,0.04735072247681549,0.8948090149110612
21.5,,,,0.38053431072432886,0.048498952701713005,0.8921755538457319
22.0,,,,0.3713065529557298,0.049704254854340046,0.8895420927804025
22.5,,,,0.3620787951871307,0.05097099245389369,0.8869086317150732
23.0,,,,0.35285103741853163,0.05230398547845905,0.8842751706497438
23.5,,,,0.34362327964993256,0.053708571654399684,0.8816417095844145
24.0,,,,0.3343955218813335,0.05519067789354981,0.8790082485190851
24.5,,,,0.3251677641127344,0.056756903894076505,0.8763747874537557
25.0,,,,0.3159400063441353,0.05841462039187162,0.8737413263884264
25.5,,,,0.30671224857553625,0.06017208514792305,0.871107865323097
26.0,,,,0.2974844908069372,0.06203858052275901,0.8684744042577677
26.5,,,,0.2882567330383381,0.0640245774753283,0.8658409431924383
27.0,,,,0.279028975269739,0.06614193210349262,0.863207482127109
27.5,,,,0.26980121750113994,0.06840412251705352,0.8605740210617796
28.0,,,,0.26057345973254087,0.07082653604147326,0.8579405599964502
28.5,,,,0.2513457019639418,0.07342681968695786,0.8553070989311209
29.0,,,,0.24211794419534272,0.07622531076138683,0.8526736378657915
29.5,,,,0.23289018642674364,0.07924556985574549,0.8500401768004622
30.0,IRS,0.05,10.0,0.22366242865814456,0.08251504576750524,0.8474067157351328
