payment_term,cms_term,cms_rate,fw_swap_rate
1.0,1.0,0.03210384607283283,0.0320069991937646
1.0,2.0,0.03347226991221255,0.0332592257741675
1.0,3.0,0.03429600711885031,0.0340107263527209
1.0,5.0,0.03556196049395666,0.0352554715359979
1.0,10.0,0.038971665894735594,0.0384279642201609
5.0,1.0,0.04011893753181147,0.039274036985251
5.0,2.0,0.04140304179915153,0.0400748611119446
5.0,3.0,0.041761805064065634,0.0400722464619349
5.0,5.0,0.04306765050317574,0.0410932287581149
5.0,10.0,0.04708417248290093,0.0436336455201687
10.0,1.0,0.04401384466368262,0.0421892371352349
10.0,2.0,0.04609830382488446,0.0431157363978325
10.0,3.0,0.04820627261383182,0.0440971249825819
10.0,5.0,0.05157568096739348,0.0462490192033912
10.0,10.0,0.06524034770881436,0.0534575291673549
